CUID,RUID,SSN,FNAME,MINIT,LNAME,STNUM,STADD,APT,CITY,STATE,ZIP
0,0,522528080,Celmar,,Cheong,,PO Box 3443,,Hope,NJ,07844
1,0,155640333,Manasco,Z,Pilla,224,Subu Pkwy,7o8,Kosrae,FM,96944
2,0,166371242,Nico,,Outi,811,Sura Road,1w1,Washington,DC,20402
3,0,555813506,Alexon,J,Broughton,,PO Box 2412,,Kokomo,MS,39643
4,0,535413572,Guiboud,,Kuenzi,20,Rengert Road,2b4,Glenham,SD,57631
5,0,732067734,Tedi,B,Toshiko,66,Pesina Parkway,7i7,Agana,GU,96928
6,0,463776170,Shiaw,Y,Danna,447,Jaki Avenue,4f2,Pocatello,ID,83209
7,0,423424730,Strom,N,Hambeer,349,Yoot Pkwy,2w6,Felicity,OH,45120
8,0,585244157,Ruperto,F,Julienne,691,Dewiele Rd,3u2,Kinross,IA,52250
9,0,541455555,Retallick,H,Theofanis,,PO Box 1281,,Frederiksted,VI,00840
10,0,372673744,Gachet,V,Okeeffer,,PO Box 2045,,Wilmington,VT,05363
11,0,777563110,Rezzik,X,Seenivasa,824,Telva Road,5r3,Hockessin,DE,19707
12,0,507467665,Essmeier,A,Marinna,477,Salimyasuda,0p5,Riverside,OR,97917
13,0,247837023,Fanton,N,Urbshas,869,Hernando Parkway,3q0,Froid,MT,59226
14,0,325556668,Chautard,,Sabatino,144,Siamak Ave,3v5,Rock River,WY,82058
15,0,722586511,Matzig,,Bunni,957,Mulrooney Avenue,8v4,Morrisville,VT,05657
16,0,688038882,Hightower,O,Couchie,836,Moens Rd,7c8,Cooke City,MT,59081
17,0,641423740,Kiichi,Z,Elisee,79,Noriega Avenue,2y5,Climax,MI,49034
18,0,247072805,Hollands,,Simandl,604,Picozzi Avenue,3r0,Sterling City,TX,76951
19,0,282633483,Lavia,W,Blouin,627,Arcega Lane,6r2,South Danville,NH,03881
20,0,582118465,Kramer,S,Imai,558,Vashro Ln,0h0,Pensacola,FL,32582
21,0,482377104,Krumwiede,Y,Juvelier,124,Elfrida Street,0a3,Clearfield,IA,50840
22,0,371185652,Goudreau,B,Welz,864,Lanunix St,6u0,Agana,GU,96916
23,0,373550717,Freek,T,Kimberli,430,Atwood Lane,5e5,Midland,MD,21542
24,0,311648244,Mass,S,Swi,705,Lisetta Avenue,8z0,Saint Louis,MO,63112
25,0,114612103,Gafford,V,Ophie,292,Ineson,8q4,Grand Junction,CO,81501
26,0,685718474,Rubenzahl,G,Marcucci,,PO Box 4096,,False Pass,AK,99583
27,0,211403465,Dragana,X,Sharri,844,Brydges Road,4k2,Tappahannock,VA,22560
28,0,544670858,Mitsuteru,N,Lloyd,552,Foresee Street,2b6,Banks,AL,36005
29,0,657204456,Stults,W,Baer,629,Stager Pkwy,8x4,Yoder,WY,82244
30,0,318253570,Quilala,H,Mazenah,,PO Box 4806,,Vernon-Rockville,CT,06066
31,0,344582213,Duby,C,Kwanglu,680,Simoni Avenue,7b4,Church Hill,MD,21690
32,0,514532076,Gacayan,W,Az,373,Karunaratne Road,7g7,Salt Lake City,UT,84136
33,0,546282203,Theall,B,Wahlen,609,Ruedi Street,6r1,Boise,ID,83700
34,0,266863637,Baig,E,Maxey,706,Cordemeyer Avenue,1k7,Gage,OK,73843
35,0,233230017,Diogo,K,Herron,918,Pasik St,0s4,Teays,WV,25569
36,0,238056237,Tabana,C,Deary,57,Antico Street,7g6,Yerington,NV,89447
