FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,ChildExemp
Janaina,Litzler, 808,168-1524,HONOLULU,HI,96808,M,Y,39500,8.159868,0,1040
Aloke,Bakhtari, 801,165-1475,SUNNYSIDE,UT,84539,S,Y,11000,7.0,2475,2475
Jieyu,Gilhooly, 808,149-1905,HONOLULU,HI,96824,S,N,29500,6.357237,1040,0
Paulo,Pogrzeba, 406,187-1670,LAKE MC DONALD,MT,59921,S,Y,20000,6.9,1900,1900
Vijayaraghavan,Khanna, 541,105-1534,PORTLAND,OR,97232,M,Y,99500,9.0,0,159
Gara,Mokryn, 469,193-1366,AUSTIN,TX,78768,S,Y,71000,0.0,0,0
Chinying,Clitherow, 401,187-1879,PROVIDENCE,RI,02918,S,N,95000,0.0,0,0
Amokrane,Polk, 218,177-1976,WATSON,MN,56295,S,Y,60500,7.483938,3300,3300
Mitchell,Handke, 712,116-1708,GREENVILLE,IA,51343,M,N,32000,5.104188,0,0
Priyadarshan,Fairtlough, 410,152-1084,POINT OF ROCKS,MD,21777,M,N,79000,4.75,0,0
Pavol,Tompits, 973,154-1520,BUENA,NJ,08310,M,Y,1000,1.4,0,1500
Thilo,Kulasinghe, 702,120-1308,YERINGTON,NV,89447,M,Y,35500,0.0,0,0
Athushi,Caugne, 518,195-1061,ITHACA,NY,14851,M,N,56000,4.2780485,0,0
Nenad,Mandiau, 602,141-1289,MESA,AZ,85207,M,Y,58000,3.6139998,0,2300
Bosco,Ponceleon, 615,167-1167,CORNERSVILLE,TN,37047,M,Y,18500,0.0,0,0
Myriam,Maggini, 405,145-1247,MIAMI,OK,74354,S,Y,34000,6.25,1000,1000
Asit,Umaschi, 605,164-1130,BLACK HAWK,SD,57718,M,N,30500,0.0,0,0
Deven,Hettesheimer, 207,160-1963,COREA,ME,04624,M,N,61000,8.5,0,0
Ferdinando,Farreny, 914,147-2060,SHINHOPPLE,NY,13837,M,Y,36000,4.162195,0,1000
Krys,Baumert, 907,173-1572,OLD HARBOR,AK,99643,M,Y,54500,0.0,0,0
Mathis,Brazile, 808,153-1700,KAILUA KONA,HI,96740,S,Y,88500,8.25,1040,1040
Liba,Szepesvari, 775,103-1096,SPARKS,NV,89431,S,N,95500,0.0,0,0
Kwangsub,Levasseur, 203,112-1822,WATERBURY,CT,06725,M,N,47000,5.0,0,0
Kablan,Kadyamatimba, 304,145-1871,PETERSBURG,WV,26847,M,Y,58000,6.3599997,0,2000
Kenshin,Roussille, 208,139-2049,BOISE,ID,83701,S,N,45000,7.8,3300,0
Burkhart,Granlund, 605,149-1910,OACOMA,SD,57365,M,Y,31500,0.0,0,0
Serenella,Litzler, 423,136-1526,FRIENDSVILLE,TN,37737,M,Y,41500,0.0,0,0
Irving,Oogane, 608,120-1791,JANESVILLE,WI,53547,M,N,91000,6.0275416,0,0
Yka,Sills, 269,158-1534,NATIONAL MINE,MI,49865,S,N,60000,3.9,3100,0
Nosa,Zuzuki, 479,136-1108,MOUNT HOLLY,AR,71758,S,Y,16500,4.1315885,20,20
Aurora,Peek, 720,174-1032,HESPERUS,CO,81326,M,Y,17500,4.63,0,0
Madhur,Pauthner, 301,133-1183,CHEVY CHASE,MD,20825,S,N,27000,4.75,2400,0
Fredric,Giggi, 208,124-2082,ROBERTS,ID,83444,S,Y,42000,7.8,3300,3300
Abdoulaye,Izumida, 347,128-1348,NEW YORK,NY,10106,M,N,60000,4.3012195,0,0
Toshiharu,Jutla, 501,163-1493,LAVACA,AR,72941,S,N,68000,7.0,20,0
Krishnan,Libkin, 936,123-1272,RAYWOOD,TX,77582,M,Y,79500,0.0,0,0
Huw,Zobel, 304,139-1339,CENTER POINT,WV,26339,S,N,61500,6.5,2000,0
Eileen,Adamczyk, 701,127-1766,GRAFTON,ND,58237,S,Y,76000,2.6367211,3300,3300
Shiro,Masand, 712,122-1348,CALAMUS,IA,52729,S,N,92500,8.98,40,0
Kuo,Groz, 701,149-1604,FORT RANSOM,ND,58033,S,N,45500,2.2831573,3300,0
Andee,Saoudi, 304,185-1903,ETHEL,WV,25076,M,Y,41000,5.17,0,2000
Daya,Simone, 301,123-1392,EDGEWOOD,MD,21040,M,Y,15500,4.75,0,2400
Jagdish,Abouzahra, 859,102-1287,DUNMOR,KY,42339,S,Y,95500,6.0,20,20
Sukumar,Gentile, 202,142-1534,WASHINGTON,DC,20423,S,N,8000,4.5,1370,0
Hisao,Adamek, 814,163-1620,KREAMER,PA,17833,M,N,5000,3.07,0,0
Pal,Blumenthal, 610,151-1999,LOYSBURG,PA,16659,S,N,97500,3.07,0,0
Zsolt,Begiun, 939,111-1342,ARROYO,PR,00714,M,N,44500,0.0,0,0
Xiaofang,Harbison, 336,101-1259,HENDERSONVILLE,NC,28791,S,N,35000,6.466783,3300,0
Olga,Motoda, 787,175-1635,SAN LORENZO,PR,00754,S,N,30500,0.0,0,0
Ady,Parson, 985,130-1853,ZWOLLE,LA,71486,S,N,22000,5.04,4500,0
Bai,Hillebrand, 435,139-1797,SALT LAKE CITY,UT,84151,S,Y,2500,4.530116,2475,2475
Hanxiong,Labarthe, 985,194-1712,BURNSIDE,LA,70738,S,N,30500,6.0,4500,0
Adrijana,Chiarodo, 701,155-1251,SHEYENNE,ND,58374,S,N,75500,2.630925,3300,0
Arivind,Mynatt, 802,116-1828,RICHMOND,VT,05477,M,Y,46000,3.920317,0,3300
Spyrose,Gulliver, 307,161-1651,ALBIN,WY,82050,M,Y,84000,0.0,0,0
Saturnino,Staub, 347,179-1692,UNION HILL,NY,14563,S,N,75500,4.391006,0,0
Kohichi,Thoresen, 918,123-1911,TULSA,OK,74192,S,Y,82000,6.25,1000,1000
Rayman,Goldschmidt, 406,179-1158,HOMESTEAD,MT,59242,M,Y,68000,6.9,0,1900
Antonije,Jueneman, 850,152-1304,JACKSONVILLE,FL,32206,S,N,40500,0.0,0,0
